kingdom,kingdomKey,speciesKey,image_count
Plantae,6,5599251,43
Plantae,6,3152707,96
Plantae,6,3152706,85
Plantae,6,8312665,101
Plantae,6,5348711,101
Plantae,6,3152634,101
Plantae,6,7997923,29
Plantae,6,3796190,15
Plantae,6,3795863,9
Plantae,6,2978466,101
Plantae,6,2979474,101
Plantae,6,2979265,102
Plantae,6,7769517,44
Plantae,6,3974744,100
Plantae,6,8381471,3
Plantae,6,3056835,101
Plantae,6,3056375,99
Plantae,6,3056259,101
Plantae,6,3056042,26
Plantae,6,3057221,97
Plantae,6,2781924,2
Plantae,6,2781961,87
Plantae,6,3035369,102
Plantae,6,3035456,99
Plantae,6,5415454,23
Plantae,6,6359819,101
Plantae,6,3767891,99
Plantae,6,5303475,17
Plantae,6,2873769,101
Plantae,6,2873807,101
Plantae,6,7308877,14
Plantae,6,3836457,100
Plantae,6,2651706,92
Plantae,6,8254182,66
Plantae,6,3079985,7
Plantae,6,3189694,99
Plantae,6,8246677,12
Plantae,6,7451120,84
Plantae,6,3120223,100
Plantae,6,3120060,101
Plantae,6,3085168,101
Plantae,6,3085175,34
Plantae,6,2951851,3
Plantae,6,2951846,101
Plantae,6,5527836,1
Plantae,6,7313459,21
Plantae,6,7155887,101
Plantae,6,5409255,99
Plantae,6,3132228,105
Plantae,6,2651816,101
Plantae,6,2651833,102
Plantae,6,7412206,99
Plantae,6,3750161,101
Plantae,6,8417744,70
Plantae,6,2895031,49
Plantae,6,3591729,29
Plantae,6,5421195,91
Plantae,6,3721362,101
Plantae,6,3173321,100
Plantae,6,2811095,2
Plantae,6,3819030,100
Plantae,6,3825597,2
Plantae,6,2949102,1
Plantae,6,2949250,100
Plantae,6,5358297,6
Plantae,6,4164044,4
Plantae,6,7307327,97
Plantae,6,2767031,91
Plantae,6,2766811,101
Plantae,6,2766636,101
Plantae,6,5550211,3
Plantae,6,5401673,100
Plantae,6,3152226,102
Plantae,6,2733934,76
Plantae,6,2918871,52
Plantae,6,2918203,31
Plantae,6,2916044,4
Plantae,6,2918843,13
Plantae,6,2918700,15
Plantae,6,2704108,37
Plantae,6,4063474,101
Plantae,6,3659064,15
Plantae,6,3659898,4
Plantae,6,7167078,97
Plantae,6,3815492,1
Plantae,6,4079267,52
Plantae,6,3036209,1
Plantae,6,7903057,101
Plantae,6,3042751,101
Plantae,6,3042837,74
Plantae,6,3042845,101
Plantae,6,4030419,75
Plantae,6,5383016,102
Plantae,6,5382985,100
Plantae,6,3076220,1
Plantae,6,3076180,11
Plantae,6,3076290,51
Plantae,6,6358484,101
Plantae,6,5361944,92
Plantae,6,5555210,100
Plantae,6,5341758,98
Plantae,6,5602619,62
Plantae,6,7583876,8
Plantae,6,6370882,27
Plantae,6,5544043,27
Plantae,6,5544059,57
Plantae,6,8156987,3
Plantae,6,3173333,101
Plantae,6,3173338,95
Plantae,6,4055437,1
Plantae,6,2845882,33
Plantae,6,7394232,6
Plantae,6,4080574,101
Plantae,6,5421368,101
Plantae,6,3829613,1
Plantae,6,5288819,99
Plantae,6,9273319,50
Plantae,6,4933534,14
Plantae,6,4926336,100
Plantae,6,3136925,100
Plantae,6,3659000,5
Plantae,6,3173178,96
Plantae,6,4007936,97
Plantae,6,9649960,29
Plantae,6,3925297,99
Plantae,6,3034646,98
Plantae,6,8302726,99
Plantae,6,2928410,56
Plantae,6,3884461,97
Plantae,6,7342732,4
Plantae,6,5407100,101
Plantae,6,5407273,98
Plantae,6,5407123,101
Plantae,6,5407099,101
Plantae,6,9483249,4
Plantae,6,5308555,11
Plantae,6,3083508,101
Plantae,6,7262663,77
Plantae,6,3076532,5
Plantae,6,3076436,42
Plantae,6,3076491,83
Plantae,6,3076438,49
Plantae,6,3076595,88
Plantae,6,3076798,9
Plantae,6,2889355,100
Plantae,6,3172001,101
Plantae,6,4047850,29
Plantae,6,7303268,5
Plantae,6,8047443,100
Plantae,6,4156721,15
Plantae,6,4159200,9
Plantae,6,5298546,100
Plantae,6,3981543,98
Plantae,6,3981483,96
Plantae,6,3876453,57
Plantae,6,7799649,70
Plantae,6,8339627,11
Plantae,6,8971274,101
Plantae,6,5332182,2
Plantae,6,5389402,99
Plantae,6,5392065,24
Plantae,6,5391845,100
Plantae,6,5391862,101
Plantae,6,2693754,102
Plantae,6,3628231,99
Plantae,6,5383085,101
Plantae,6,2874863,101
Plantae,6,5385687,12
Plantae,6,5600005,99
Plantae,6,4079429,99
Plantae,6,2808791,20
Plantae,6,3189955,96
Plantae,6,5395607,103
Plantae,6,5395786,74
Plantae,6,6445734,99
Plantae,6,5395671,7
Plantae,6,5395639,43
Plantae,6,5395835,104
Plantae,6,7358042,100
Plantae,6,5395843,77
Plantae,6,5395686,98
Plantae,6,7300656,4
Plantae,6,4100434,1
Plantae,6,2984359,100
Plantae,6,7769607,97
Plantae,6,7327348,16
Plantae,6,3086282,100
Plantae,6,2758480,11
Plantae,6,4012211,47
Plantae,6,7288643,74
Plantae,6,2718302,14
Plantae,6,3579089,101
Plantae,6,5414566,98
Plantae,6,3699976,92
Plantae,6,7620074,17
Plantae,6,3189636,98
Plantae,6,8307542,100
Plantae,6,3189635,100
Plantae,6,5411542,24
Plantae,6,4094511,36
Plantae,6,5407583,92
Plantae,6,8269930,7
Plantae,6,5636073,2
Plantae,6,5635838,12
Plantae,6,2962193,72
Plantae,6,7799711,30
Plantae,6,2962057,25
Plantae,6,2962029,101
Plantae,6,2962021,100
Plantae,6,8034409,101
Plantae,6,5361880,100
Plantae,6,3841195,11
Plantae,6,3840335,2
Plantae,6,7270041,38
Plantae,6,7743229,41
Plantae,6,2893147,33
Plantae,6,4106183,12
Plantae,6,8383611,11
Plantae,6,7552967,25
Plantae,6,5601856,26
Plantae,6,7273413,99
Plantae,6,5601836,99
Plantae,6,5375388,101
Plantae,6,2845928,2
Plantae,6,5292372,101
Plantae,6,5292267,6
Plantae,6,5301026,18
Plantae,6,5300998,20
Plantae,6,8234570,101
Plantae,6,4939125,2
Plantae,6,7285992,12
Plantae,6,8400302,101
Plantae,6,5354740,5
Plantae,6,3974372,100
Plantae,6,2958773,18
Plantae,6,9362258,34
Plantae,6,11219613,4
Plantae,6,2958715,100
Plantae,6,2958871,12
Plantae,6,2960284,62
Plantae,6,2868390,99
Plantae,6,5294128,11
Plantae,6,5294114,2
Plantae,6,2795128,56
Plantae,6,2795257,38
Plantae,6,2795023,73
Plantae,6,2795051,101
Plantae,6,5302914,61
Plantae,6,5391480,101
Plantae,6,10514274,98
Plantae,6,10507579,9
Plantae,6,7309012,15
Plantae,6,5609925,5
Plantae,6,6412107,26
Plantae,6,5341132,100
Plantae,6,7308776,100
Plantae,6,7308852,100
Plantae,6,7307835,18
Plantae,6,5609427,2
Plantae,6,7308743,10
Plantae,6,5303453,101
Plantae,6,3173413,42
Plantae,6,3092946,103
Plantae,6,5372487,96
Plantae,6,2683942,3
Plantae,6,9531830,100
Plantae,6,2925357,100
Plantae,6,3893244,101
Plantae,6,2925349,101
Plantae,6,2925354,99
Plantae,6,2925348,51
Plantae,6,3890752,1
Plantae,6,3890745,98
Plantae,6,3887135,101
Plantae,6,3889087,100
Plantae,6,7307919,49
Plantae,6,2951345,1
Plantae,6,3774284,24
Plantae,6,7307233,99
Plantae,6,2946665,12
Plantae,6,2946542,100
Plantae,6,2946519,101
Plantae,6,7326564,2
Plantae,6,3034720,17
Plantae,6,2874564,100
Plantae,6,2888831,101
Plantae,6,3829341,26
Plantae,6,3033943,101
Plantae,6,2735117,101
Plantae,6,2874867,37
Plantae,6,2968949,19
Plantae,6,3071476,100
Plantae,6,3774207,100
Plantae,6,3164997,101
Plantae,6,5412879,56
Plantae,6,2811501,7
Plantae,6,2811433,4
Plantae,6,2811392,20
Plantae,6,2811765,3
Plantae,6,2895345,101
Plantae,6,2895528,7
Plantae,6,2706301,101
Plantae,6,5406687,10
Plantae,6,4059906,101
Plantae,6,3884974,38
Plantae,6,2795410,3
Plantae,6,5330776,100
Plantae,6,2870285,7
Plantae,6,5372467,101
Plantae,6,5646867,4
Plantae,6,5646838,100
Plantae,6,3137300,1
Plantae,6,2789676,100
Plantae,6,3094819,97
Plantae,6,3607289,98
Plantae,6,5403419,4
Plantae,6,5415080,96
Plantae,6,5415081,98
Plantae,6,2853796,101
Plantae,6,2853901,36
Plantae,6,2747939,94
Plantae,6,6359825,101
Plantae,6,7970844,90
Plantae,6,2942052,9
Plantae,6,2941944,27
Plantae,6,2942208,4
Plantae,6,2942877,79
Plantae,6,2942291,63
Plantae,6,2942058,45
Plantae,6,8260433,101
Plantae,6,2942090,4
Plantae,6,2942610,100
Plantae,6,2942762,32
Plantae,6,2942727,98
Plantae,6,2941939,100
Plantae,6,2942654,102
Plantae,6,3057960,100
Plantae,6,3058629,11
Plantae,6,3058185,100
Plantae,6,3058717,1
Plantae,6,3057656,9
Plantae,6,4024206,1
Plantae,6,5525050,36
Plantae,6,6021960,21
Plantae,6,5284237,95
Plantae,6,3034432,99
Plantae,6,4040546,105
Plantae,6,2874570,101
Plantae,6,8130737,5
Plantae,6,7443131,8
Plantae,6,6559985,37
Plantae,6,8344668,1
Plantae,6,3698309,28
Plantae,6,3189403,2
Plantae,6,2763941,94
Plantae,6,2764179,98
Plantae,6,2764202,97
Plantae,6,2764435,86
Plantae,6,8339120,2
Plantae,6,3146791,101
Plantae,6,3126384,6
Plantae,6,3146683,101
Plantae,6,3152092,99
Plantae,6,3152082,37
Plantae,6,3152084,56
Plantae,6,5341270,94
Plantae,6,5341290,72
Plantae,6,5304502,53
Plantae,6,2766278,97
Plantae,6,2766271,77
Plantae,6,3133938,101
Plantae,6,3133950,101
Plantae,6,3034871,101
Plantae,6,7846556,101
Plantae,6,7322062,44
Plantae,6,7322129,2
Plantae,6,7161076,56
Plantae,6,5531399,100
Plantae,6,5293281,21
Plantae,6,5293447,43
Plantae,6,5592750,1
Plantae,6,3098951,99
Plantae,6,7584507,100
Plantae,6,3025781,93
Plantae,6,3082562,101
Plantae,6,3115443,99
Plantae,6,3871487,17
Plantae,6,3054263,13
Plantae,6,3871686,44
Plantae,6,3871303,42
Plantae,6,3712064,93
Plantae,6,7330024,9
Plantae,6,3033937,94
Plantae,6,7596599,42
