inputName,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym
Abelia chinensis R.Br.,5599251.0,Abelia chinensis R.Br.,Abelia chinensis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,Abelia chinensis,6.0,7707728.0,220.0,946.0,6710.0,2888733.0,5599251.0,
Abelmoschus crinitus Wall.,3940931.0,Abelmoschus crinitus Wall.,Abelmoschus crinitus,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus crinitus,6.0,7707728.0,220.0,941.0,6685.0,3152705.0,3940931.0,
Abelmoschus esculentus (L.) Moench,3152707.0,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus esculentus,6.0,7707728.0,220.0,941.0,6685.0,3152705.0,3152707.0,
Abelmoschus manihot (L.) Medik.,3152706.0,Abelmoschus manihot (L.) Medik.,Abelmoschus manihot,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus manihot,6.0,7707728.0,220.0,941.0,6685.0,3152705.0,3152706.0,
Abelmoschus manihot var. pungens (Roxb.) Hochr.,6712761.0,Abelmoschus manihot var. pungens (Roxb.) Hochr.,Abelmoschus manihot pungens,VARIETY,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus manihot,6.0,7707728.0,220.0,941.0,6685.0,3152705.0,3152706.0,
Abelmoschus moschatus Medik.,8312665.0,Abelmoschus moschatus (L.) Medik.,Abelmoschus moschatus,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus moschatus,6.0,7707728.0,220.0,941.0,6685.0,3152705.0,8312665.0,
Abelmoschus moschatus Medik. ssp. tuberosus (Span.) Borss.,10967151.0,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,Abelmoschus moschatus tuberosus,SUBSPECIES,SYNONYM,83.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus sagittifolius,6.0,7707728.0,220.0,941.0,6685.0,3152705.0,3940600.0,
Abelmoschus moschatus Medik. var. quinquelobus Gagnep.,8312665.0,Abelmoschus moschatus (L.) Medik.,Abelmoschus moschatus,SPECIES,ACCEPTED,99.0,HIGHERRANK,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus moschatus,6.0,7707728.0,220.0,941.0,6685.0,3152705.0,8312665.0,
Abies delavayi Franch.,2685456.0,Abies delavayi Franch.,Abies delavayi,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies delavayi,6.0,7707728.0,194.0,640.0,3925.0,2684876.0,2685456.0,
Abroma augusta (L.) L. f.,8219075.0,Abroma augustum (L.) L.fil.,Abroma augustum,SPECIES,ACCEPTED,100.0,FUZZY,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abroma,Abroma augustum,6.0,7707728.0,220.0,941.0,6685.0,10838483.0,8219075.0,
