Tên khoa học,Tên tiếng Việt,Phân bố,File,Tên đồng nghĩa,Họ,Họ thực vật,speciesKey
Uvaria calamistrata Hance,"Bồ quả quăn, Lá men","Sơn La, Lạng Sơn, Quảng Ninh,. Cây mọc rải rác ở ven rừng, nơi sáng",uvaria-calamistrata-hance.txt,,,Annonaceae,3154353
Wikstroemia indica (L.) C.A. Mey. – Daphne indica L,"Niệt gió, Nam cam toại, Dó niết, Dó cánh, Dó chuột, Liễu kha vương, Tài xoàng (Tày)",Cây mọc tự nhiên ở nhiều nơi từ trung du tới miền núi,wikstroemia-indica-l-c-a-mey.txt,,,Thymelaeaceae,5524676
Ardisia crassinervosa E. Walker,Trọng đũa gân lồi,"Khánh Hòa, Kon Tum, Đắk Lắk, Lâm Đồng, Ninh Thuận. Cây mọc tự nhiên trong rừng cây lá rộng thường xanh, sườn đồi, trảng cây bụi, nơi ẩm, ở độ cao 100-1800 m",ardisia-crassinervosa-e-walker.txt,,,Myrsinaceae,5414379
Cajanus goensis Dalz,"Sôm, Đậu triều lông chòm","Sơn La (Mộc Châu), Nghệ An (thung lũng sông La, Canh Trap), Đắk Lắk (Buôn Ma Thuột), Lâm Đồng (Đà Lạt, Lang Bian, Di Linh), Ninh Thuận, Đồng Nai (song Lu)",cajanus-goensis-dalz.txt,"Atylosia goensis (Dalz.) Dalz., Endomallus spirei Gagnep., Dunbaria stipulata Thuan",Đậu – Fabaceae,,2960346
Pyrrosia lanceolata (L.) Farw. – Acrostichum lanceolatum L,Lưỡi mèo tai chuột,"Rất rộng. Cây mọc tự nhiên, thường bám trên cây gỗ, vách đá, phổ biến ở nước ta.",pyrrosia-lanceolata-l-farw.txt,,,Polypodiaceae,5648124
Lobelia chinensis Lour,"Bán biên liên, Lỗ bình, Lô biên","Quảng Ninh (Đông Triều), Thái Nguyên, Bắc Giang (Nhã Nam), Hà Nội. Cây mọc tự nhiên nơi ẩm thấp ở ven đường, bờ ruộng, bãi cỏ ẩm",lobelia-chinensis-lour.txt,,,Lobeliaceae,5409093
Aquilaria malaccensis Lam. – A. agallocha Roxb,Trầm,Miền Nam Việt Nam. Cây mọc rải rác trong rừng rậm thường xanh.,aquilaria-malaccensis-lam.txt,,,Thymeleaceae,5524063
Zehneria indica (Lour.) Karaudren – Melothria indica Lour,Dây pọp,Cây mọc tự nhiên ở ven rừng ẩm phổ biến khắp Việt Nam,zehneria-indica-lour-karaudren-melothria-indica-lour.txt,,,Họ Bầu bí (Cucurbitaceae),10658050
Passiflora laurifolia L,Guồi tây,Miền Nam. Cây mọc tự nhiên.,passiflora-laurifolia-l.txt,,,Passifloraceae,2874210
Cryptolepis sinensis (Lour.) Merr. – Pergularia sinensis Lour,"Ẩn lân, Dây lá bạc","Lạng Sơn, Hà Bắc, Vũng Tàu. Cây ưa sáng, mọc tự nhiên ven đường đi, trên các hàng rào quanh làng.",cryptolepis-sinensis-lour-merr.txt,,,Asclepiadaceae,6021960
