id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1418388,"Chinese abelia, Beloahenais",Abelia chinensis,R.Br.,5599251,148187-1,
1361854,"Okra, Lady's-finger, బెండకాయ, भिण्डी, Lady's-fingers, Bhindi, Gumbo, Ochro, Bhindo, Idelele, بامیه, Gobo, Kacang bendi, Kusat, Zúlnà, Quiabo, ঢেঁড়স, भिंडी, ᱵᱷᱤᱱᱰᱤ, Otigo, भेंडरी, ಬೆಂಡೆಕಾಯಿ, காய், Ramtorai, Бамја, ଭେଣ୍ଡି, Nkruma, Vendaikkai (Tamil), Kubewa (Hausa), Djakhtaghne (Soninke), Castor Bean Tree, Cann lily",Abelmoschus esculentus,(L.) Moench,3152707,558006-1,
1370589,"Native rosella, White wild musk mallow, Abelshu Weed, Okra Number Two",Abelmoschus ficulneus,(L.) Wight & Arn.,3940858,558009-1,LC
1408264,"Manioc-hibiscus, Sunset-hibiscus, Sunset muskmallow, Bele, Aibika, Hibiscus root, Sunset Huskmallow, Mbele, Okra , ladyfinger plant, Hibiscuses",Abelmoschus manihot,(L.) Medik.,3152706,558020-1,DD
1402050,"Muskseed, Musk okra, Musk-mallow, Tropical jewel-hibiscus, Annual Hibiscus, Musky-seeded hibiscus, Native Rosella, Ornamental Okra, Muskdana, Rose mallow, Okra, Ambrette plant, Fautia, Kasturi, Musk, Musk mellow, Vegetable musk plant, Gandapura, Rose of Sharon",Abelmoschus moschatus,Medik.,8312665,558023-1,LC
1405027,Flatspike Sedge,Abildgaardia ovata,(Burm.f.) Kral,2708407,1025064-2,
1719768,"Devil's-cotton, Indian perennial hemp",Abroma augustum,(L.) L.f.,8219075,822006-1,
1734242,Doted Pea,Abrus fruticulosus,Wall. ex Wight & Arn.,5348700,469592-1,DD
1402792,"Rosarypea, Indian-licorice, Indian-liquorice, Coral-beadplant, Gidee-gidee, Licorice-vine, Minnie-minnies, Crab's-eye, Love-bean, Lucky-bean, Prayer-beads, Precatory, Precatory-bean, Red-beadvine, Weatherplant, Weathervine, Jequirity, Jequirity-bean, Jequerity, Jumbie Beads, Jumbi Bead, Jumby Beans, Liquorice Plant, Akar saga, Cock's eyes, Coondrimany, Coral bead, Coral bead vine, Country licorice, Crab's eye creeper, Jamaica wild licorice, John Crow bead, Jumbie bead, Licorice, Love pea, Paternoster pea, Prayer bead, Precatory pea, Ratti, Red-bead vine, Wild licorice, Bead Vine, Black-eyed Susan, Buddhist Rosary Bead, Crab's Eyes, Crab's-eye Vine, Crab’s eyes, Graine Rouge, Gwen L≠glise, Jumbee Bead, Jumbee seeds, Jumbie Bean, Liane Reglisse, Lucky bean creeper, Mountain Male-fern, Red Bean Vine, Scrubber, Wild Liquorice, Wire Wiss, Pois rouge, గురివింద, Jumbie Eyes, Sogok telik, Kundirmani, Gulaganji, Saga saga, Gunja sees, Manchatikkuru(malayalam)",Abrus precatorius,L.,5348711,469605-1,
1370608,Asian Indian-Mallow,Abutilon auritum,(Wall. ex Link) Sweet,3152639,1062300-2,
1370594,"Hairy Indian mallow, Flowering Maple",Abutilon guineense,(Schumach.) Baker f. & Exell,7279347,1171539-2,
1405089,"Florida Keys Indian mallow, Florida Keys Indian malloiw, Florida Key Indian-mallow, Indian mallow",Abutilon hirtum,(Lam.) Sweet,3152619,238-2,
1356287,"Indian abutilon, Indian lantern-flower, Indian mallow, Country mallow, Twelve-o'clock flower, Monkeybush, Abutilon, American Indian-mallow, తుత్తుర బెండ, Tuttubenda, అతిబల",Abutilon indicum,(L.) Sweet,3152634,1101632-2,
1363953,"Velvetleaf, Indian-mallow, Chingma-lantern, Abutilon-hemp, Butterprint, Tientsin-jute, China-jute, American-jute, Swamp Chinese-lantern, Velvetweed, Buttonweed, Indian Hemp, Pie-maker, Pie-marker, Velvetleaf Indian Mallow, Velvetleaf Abutilon, Chinese lantern, Chingma abutilon, Velvetleaf (or butterprint), துத்தி செடி, گاو پنبه, Makole, Yousefabdoli",Abutilon theophrasti,Medik.,3152614,1044174-2,
