id,occurrenceID,basisOfRecord,modified,institutionCode,collectionCode,datasetName,informationWithheld,catalogNumber,references,occurrenceRemarks,recordedBy,recordedByID,identifiedBy,identifiedByID,captive,eventDate,eventTime,verbatimEventDate,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,countryCode,stateProvince,identificationID,dateIdentified,identificationRemarks,taxonID,scientificName,taxonRank,kingdom,phylum,class,order,family,genus,license,rightsHolder,inaturalistLogin,publishingCountry,projectId,sex,lifeStage,reproductiveCondition,vitality,dynamicProperties
201101237,https://www.inaturalist.org/observations/201101237,HumanObservation,2024-03-04T13:50:06Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101237,https://www.inaturalist.org/observations/201101237,,Samulik,,Harri Nygren,,wild,2024-03-03T10:27:34+02:00,10:27:34+02:00,2024-03-03 10:27:34+02:00,"Untolantie, Riihimäki, 06, FI",60.75938,24.7739083333,30.0,EPSG:4326,FI,Western Finland,456530929.0,2024-03-03T17:16:11Z,Mustakääpä,1061180,Phellinus igniarius trivialis,variety,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellinus,http://creativecommons.org/licenses/by-nc/4.0/,Samulik,samuli_k,FI,,,,,,
201101238,https://www.inaturalist.org/observations/201101238,HumanObservation,2024-03-15T19:59:13Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101238,https://www.inaturalist.org/observations/201101238,,Igor Derevskov,,Igor Derevskov,,wild,2024-03-02T16:27:00+05:00,16:27:00+05:00,2024-03-02 16:27:00,"Челябинская обл., Россия, 455047",53.3438215424,58.9186732471,1221.0,EPSG:4326,RU,Chelyabinsk,456421018.0,2024-03-03T08:28:24Z,,7429,Bombycilla garrulus,species,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,http://creativecommons.org/licenses/by-nc/4.0/,Igor Derevskov,igorderevskov,,,,,,,
201101239,https://www.inaturalist.org/observations/201101239,HumanObservation,2025-02-12T20:26:21Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101239,https://www.inaturalist.org/observations/201101239,,Dustin Snider,,Dustin Snider,,wild,2023-08-03T15:24:18-07:00,15:24:18-07:00,2023-08-03 16:24:18-06:00,"Nancy Greene Park, Kootenay Boundary, BC, CA",49.2593474212,-117.9415097722,74.0,EPSG:4326,CA,British Columbia,456421019.0,2024-03-03T08:28:25Z,,50739,Platanthera stricta,species,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,http://creativecommons.org/licenses/by-nc/4.0/,Dustin Snider,dustin777,CA,,,,,,
201101240,https://www.inaturalist.org/observations/201101240,HumanObservation,2024-03-03T08:30:06Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101240,https://www.inaturalist.org/observations/201101240,,Elias,,Elias,,wild,2024-03-03T08:21:21+01:00,08:21:21+01:00,2024-03-03 08:21:21,"Straßgang, Graz, Austria",47.0355998949,15.391699858,4.0,EPSG:4326,AT,Steiermark,456421023.0,2024-03-03T08:28:27Z,,55814,Corydalis solida,species,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Corydalis,http://creativecommons.org/publicdomain/zero/1.0/,Elias,elias105,,,,,,,
201101241,https://www.inaturalist.org/observations/201101241,HumanObservation,2024-03-03T13:11:15Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101241,https://www.inaturalist.org/observations/201101241,,Aleksey,,fornax313,,wild,2024-02-08T11:28:00+03:00,11:28:00+03:00,2024/02/08 11:28,Феодосия,45.0307208508,35.396261597,7216.0,EPSG:4326,UA,Crimea,456449478.0,2024-03-03T11:43:47Z,?,987315,Aloconota gregaria,species,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aloconota,http://creativecommons.org/licenses/by-nc/4.0/,Aleksey,sazhnev,,,,,,,
201101245,https://www.inaturalist.org/observations/201101245,HumanObservation,2024-03-04T05:41:50Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101245,https://www.inaturalist.org/observations/201101245,Clinton Rocks Victoria Subsp sophorae look,arthurjoestephens,,jackiemiles,,wild,2024-03-03T16:03:18+11:00,16:03:18+11:00,2024-03-03 16:03:18+11:00,"Croajingolong, E. Gippsland - Orbost, AU-VI, AU",-37.7774454451,149.199178226,5.0,EPSG:4326,AU,Victoria,456689890.0,2024-03-04T03:18:41Z,,244653,Acacia longifolia sophorae,subspecies,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,http://creativecommons.org/licenses/by-nc/4.0/,arthurjoestephens,arthurjoestephens,,,,,,,
201101246,https://www.inaturalist.org/observations/201101246,HumanObservation,2024-07-19T07:39:41Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101246,https://www.inaturalist.org/observations/201101246,,davidsando,,davidsando,,wild,2024-03-03T13:22:00+10:30,13:22:00+10:30,2024/03/03 1:22 PM,"Keith SA 5267, Australia",-36.1335781675,140.3982687073,31.0,EPSG:4326,AU,South Australia,456421047.0,2024-03-03T08:28:42Z,,7176,Chenonetta jubata,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chenonetta,http://creativecommons.org/licenses/by-nc/4.0/,davidsando,davidsando,AU,,,,,,
201101249,https://www.inaturalist.org/observations/201101249,HumanObservation,2024-09-05T08:13:55Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101249,https://www.inaturalist.org/observations/201101249,Killed/paralysed by wasp,Jarah Marginata,,Eathan Douglas,,wild,2024-02-15T14:45:27+11:00,14:45:27+11:00,2024-02-15 14:45:27+11:00,"Central Ward, Noorat, VIC, AU",-38.1816533333,142.9346616667,215.0,EPSG:4326,AU,Victoria,456456894.0,2024-03-03T12:27:36Z,,553879,Neosparassus patellatus,species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Neosparassus,http://creativecommons.org/licenses/by-nc/4.0/,Jarah Marginata,jarah,AU,,,,,,
201101250,https://www.inaturalist.org/observations/201101250,HumanObservation,2024-03-03T09:28:10Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101250,https://www.inaturalist.org/observations/201101250,,vishnu_uplc,,vishnu_uplc,,wild,2023-12-25T13:46:00+05:30,13:46:00+05:30,2023/12/25 1:46 PM,"Nawabganj, Uttar Pradesh, India",28.5405365,79.6305599,267.0,EPSG:4326,IN,Uttar Pradesh,456421054.0,2024-03-03T08:28:46Z,,474332,Porphyrio poliocephalus,species,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,http://creativecommons.org/licenses/by-nc/4.0/,vishnu_uplc,vishnu_uplc,,,,,,,
201101251,https://www.inaturalist.org/observations/201101251,HumanObservation,2024-03-03T08:33:07Z,iNaturalist,Observations,iNaturalist research-grade observations,,201101251,https://www.inaturalist.org/observations/201101251,,Elias,,Elias,,wild,2024-03-03T08:12:38+01:00,08:12:38+01:00,2024-03-03 08:12:38,"Straßgang, Graz, Austria",47.0351805556,15.3924194444,,EPSG:4326,AT,Steiermark,456421059.0,2024-03-03T08:28:49Z,,126188,Gagea lutea,species,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Gagea,http://creativecommons.org/publicdomain/zero/1.0/,Elias,elias105,,,,,,,
