id,type,format,identifier,references,created,creator,publisher,license,rightsHolder,catalogNumber
201101237,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354992643/original.jpg,https://www.inaturalist.org/photos/354992643,2024-03-03T08:27:34Z,Samulik,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Samulik,354992643
201101238,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935854/original.jpeg,https://www.inaturalist.org/photos/354935854,2024-03-02T11:27:00Z,Igor Derevskov,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Igor Derevskov,354935854
201101238,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935861/original.jpeg,https://www.inaturalist.org/photos/354935861,2024-03-02T11:27:00Z,Igor Derevskov,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Igor Derevskov,354935861
201101238,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935870/original.jpeg,https://www.inaturalist.org/photos/354935870,2024-03-02T11:27:00Z,Igor Derevskov,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Igor Derevskov,354935870
201101239,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935856/original.jpg,https://www.inaturalist.org/photos/354935856,2023-08-03T22:24:18Z,Dustin Snider,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Dustin Snider,354935856
201101239,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935865/original.jpg,https://www.inaturalist.org/photos/354935865,2023-08-03T22:24:18Z,Dustin Snider,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Dustin Snider,354935865
201101240,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935859/original.jpeg,https://www.inaturalist.org/photos/354935859,2024-03-03T08:21:00-08:00,Elias,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Elias,354935859
201101240,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935872/original.jpeg,https://www.inaturalist.org/photos/354935872,2024-03-03T08:21:21-08:00,Elias,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Elias,354935872
201101241,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935837/original.jpg,https://www.inaturalist.org/photos/354935837,2024-02-08T08:28:00Z,Aleksey,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aleksey,354935837
201101245,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935889/original.jpg,https://www.inaturalist.org/photos/354935889,2024-03-03T05:03:18Z,arthurjoestephens,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,arthurjoestephens,354935889
201101245,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935922/original.jpg,https://www.inaturalist.org/photos/354935922,2024-03-03T05:03:18Z,arthurjoestephens,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,arthurjoestephens,354935922
201101245,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935987/original.jpg,https://www.inaturalist.org/photos/354935987,2024-03-03T05:03:18Z,arthurjoestephens,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,arthurjoestephens,354935987
201101246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935812/original.jpeg,https://www.inaturalist.org/photos/354935812,2024-03-03T13:22:37-08:00,davidsando,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,davidsando,354935812
201101246,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935892/original.jpeg,https://www.inaturalist.org/photos/354935892,2024-03-03T13:25:44-08:00,davidsando,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,davidsando,354935892
201101249,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354936013/original.jpg,https://www.inaturalist.org/photos/354936013,2024-02-15T03:45:27Z,Jarah Marginata,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jarah Marginata,354936013
201101249,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354936034/original.jpg,https://www.inaturalist.org/photos/354936034,2024-02-15T03:45:27Z,Jarah Marginata,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jarah Marginata,354936034
201101250,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935839/original.jpg,https://www.inaturalist.org/photos/354935839,2023-12-25T13:46:12-08:00,vishnu_uplc,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,vishnu_uplc,354935839
201101251,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935886/original.jpeg,https://www.inaturalist.org/photos/354935886,2024-03-03T08:12:13-08:00,Elias,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Elias,354935886
201101251,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935902/original.jpeg,https://www.inaturalist.org/photos/354935902,2024-03-03T08:12:18-08:00,Elias,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Elias,354935902
201101251,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935932/original.jpeg,https://www.inaturalist.org/photos/354935932,2024-03-03T08:12:38-08:00,Elias,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Elias,354935932
201101254,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935831/original.jpg,https://www.inaturalist.org/photos/354935831,2023-06-24T12:47:20-07:00,Martina Kišelová,iNaturalist,http://creativecommons.org/licenses/by-nc-nd/4.0/,Martina Kišelová,354935831
201101257,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935578/original.jpeg,https://www.inaturalist.org/photos/354935578,2024-03-01T08:37:56-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935578
201101257,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935607/original.jpeg,https://www.inaturalist.org/photos/354935607,2024-03-01T08:38:01-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935607
201101258,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935573/original.jpeg,https://www.inaturalist.org/photos/354935573,2024-03-01T08:26:19-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935573
201101258,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935555/original.jpeg,https://www.inaturalist.org/photos/354935555,2024-03-01T08:26:43-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935555
201101259,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935667/original.jpeg,https://www.inaturalist.org/photos/354935667,2024-03-01T13:29:15-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935667
201101259,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935612/original.jpeg,https://www.inaturalist.org/photos/354935612,2024-03-01T13:28:24-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935612
201101259,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935631/original.jpeg,https://www.inaturalist.org/photos/354935631,2024-03-01T13:28:39-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935631
201101259,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935648/original.jpeg,https://www.inaturalist.org/photos/354935648,2024-03-01T13:28:45-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935648
201101259,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935649/original.jpeg,https://www.inaturalist.org/photos/354935649,2024-03-01T13:29:04-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935649
201101260,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935748/original.jpeg,https://www.inaturalist.org/photos/354935748,2024-03-01T13:39:07-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935748
201101260,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935689/original.jpeg,https://www.inaturalist.org/photos/354935689,2024-03-01T13:38:33-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935689
201101260,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935691/original.jpeg,https://www.inaturalist.org/photos/354935691,2024-03-01T13:38:38-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935691
201101260,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935720/original.jpeg,https://www.inaturalist.org/photos/354935720,2024-03-01T13:39:01-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935720
201101261,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935767/original.jpeg,https://www.inaturalist.org/photos/354935767,2024-03-01T13:39:28-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935767
201101262,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935747/original.jpeg,https://www.inaturalist.org/photos/354935747,2024-03-01T13:39:19-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935747
201101263,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935850/original.jpeg,https://www.inaturalist.org/photos/354935850,2024-03-01T18:18:02-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935850
201101263,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935855/original.jpeg,https://www.inaturalist.org/photos/354935855,2024-03-01T18:18:53-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935855
201101264,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935789/original.jpeg,https://www.inaturalist.org/photos/354935789,2024-03-01T17:41:35-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935789
201101264,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935799/original.jpeg,https://www.inaturalist.org/photos/354935799,2024-03-01T17:41:39-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935799
201101264,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935810/original.jpeg,https://www.inaturalist.org/photos/354935810,2024-03-01T17:41:48-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935810
201101264,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935846/original.jpeg,https://www.inaturalist.org/photos/354935846,2024-03-01T17:41:54-08:00,Aaron Bean,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Aaron Bean,354935846
201101270,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934546/original.jpeg,https://www.inaturalist.org/photos/354934546,2014-03-14T13:59:16-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934546
201101270,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934542/original.jpeg,https://www.inaturalist.org/photos/354934542,2014-03-14T13:57:00-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934542
201101270,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934545/original.jpeg,https://www.inaturalist.org/photos/354934545,2014-03-14T13:57:16-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934545
201101270,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934554/original.jpeg,https://www.inaturalist.org/photos/354934554,2014-03-14T13:57:55-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934554
201101270,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/355009988/original.jpeg,https://www.inaturalist.org/photos/355009988,2014-03-14T13:56:55-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,355009988
201101271,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934719/original.jpeg,https://www.inaturalist.org/photos/354934719,2014-03-14T16:08:13-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934719
201101271,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934709/original.jpeg,https://www.inaturalist.org/photos/354934709,2014-03-14T16:08:10-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934709
201101271,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934682/original.jpeg,https://www.inaturalist.org/photos/354934682,2014-03-14T16:08:19-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934682
201101271,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934677/original.jpeg,https://www.inaturalist.org/photos/354934677,2014-03-14T16:08:21-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934677
201101271,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934673/original.jpeg,https://www.inaturalist.org/photos/354934673,2014-03-14T16:06:43-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934673
201101271,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934704/original.jpeg,https://www.inaturalist.org/photos/354934704,2014-03-14T16:06:45-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934704
201101271,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354934702/original.jpeg,https://www.inaturalist.org/photos/354934702,2014-03-14T16:06:50-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354934702
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935545/original.jpeg,https://www.inaturalist.org/photos/354935545,2014-03-14T20:06:49-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935545
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935556/original.jpeg,https://www.inaturalist.org/photos/354935556,2014-03-14T20:07:42-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935556
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935566/original.jpeg,https://www.inaturalist.org/photos/354935566,2014-03-14T20:02:28-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935566
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935577/original.jpeg,https://www.inaturalist.org/photos/354935577,2014-03-14T20:01:33-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935577
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935600/original.jpeg,https://www.inaturalist.org/photos/354935600,2014-03-14T20:00:55-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935600
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935605/original.jpeg,https://www.inaturalist.org/photos/354935605,2014-03-14T20:00:20-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935605
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935603/original.jpeg,https://www.inaturalist.org/photos/354935603,2014-03-14T20:00:39-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935603
67033747,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204422/original.jpg,https://www.inaturalist.org/photos/108204422,2020-12-24T21:26:37Z,seabornbrown,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,seabornbrown,108204422
67033750,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204434/original.jpg,https://www.inaturalist.org/photos/108204434,2020-01-06T22:03:27Z,Henrik Kibak,iNaturalist,http://creativecommons.org/licenses/by/4.0/,Henrik Kibak,108204434
67033751,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204430/original.jpeg,https://www.inaturalist.org/photos/108204430,2020-12-25T05:31:08Z,Иван Качалов,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Качалов,108204430
67033751,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204437/original.jpeg,https://www.inaturalist.org/photos/108204437,2020-12-25T05:31:08Z,Иван Качалов,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Иван Качалов,108204437
