Scientific Name,Page Number
Ae idinandra millettiy,2
Broussonetia kazinoki Sieb. & Zucc.,331
ex Vent.,331
Brucea javanica (L.) Mert.,821
Brucea mollis Wall. ex Kurz,482
Bercht. & Pres!,17
Bruguiera cylindrica (L.) Blume,1020
in Lamk.,1019
Lamk.,1019
Bryum argenteum Hedw.,781
Buchanania lucida Blume,172
Buchanania reticulata Hance,599
Buchanania siamensis Miq.,172
Don,202
Buddleja asiatica Lout.,82
Buddleja davidii Franch.,106
Buddleja macrostachya Benth.,83
Buddleja officinalis Maxim.,580
Bulbophyllum ‘ambrosia (Hance),874
Schlechter een,152
Bulbophyllum odoratissimum (Smith),12
Blumea martiniana Vaniot,267
Chang & Tseng,492
Blumea mollis (D.Don) Merr.,438
Blumea pubigera (L.) Mer.,302
Blumea sinuata (Lout.) Mert.,337
diffusa (Wedd.) Hand.-Mazz.,390
Boehmeria macrophylla Hornem.,390
Boehmeria nivea (L.) Gaudich.,388
Long,391
Boehmeria tonkinensis Gagnep.,344
oe.,223
Reichb.,485
Boerhavia diffusa L.,817
"var, copelandii (Ching) Hennipen",931
ex C. Chr. ‘,931
"ex C, Chr. '",931
Callicarpa arborea Roxb.,9
Callicarpa bodinieri Levi.,1001
Callicarpa brevipes (Benth.) Hance,1001
Hochr.,623
Raeusch.,1003
Callicarpa erioclona Schauer inDC.,994
Callicarpa formosana Rolf.,1002
Callicarpa kochiana Makino,1002
Callicarpa longifolia Lamk.,1003
Merr.,1002
Callicarpa macrophylla Vahl,1003
Callicarpa nudiflora Hook. et Arn.,1002
Callicarpa pedunculata R. Br.,1001
"Callicarpa rubella Lindl,",1002
Callisia fragrans (Lindl.) Woodson,551
Callistemon citrinus (Curt.) Skeels,965
Callistephus chinensis (L.) Nees.,439
Callitriche stagnalis Scop.,311
Calocedrus macrolepis Kurz,714
T.H.Nguyén & P.K.Léc,40
Agardh.,196
Calophyllum dryobalanoides Pierre,244
Calophyllum inophyllum L.,608
et Champ.,244
Calophyllum polyanthum Wall.ex,55
