key,nubKey,nameKey,taxonID,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,publishedIn,numDescendants,lastCrawled,lastInterpreted,issues,class,basionymKey,basionym,sourceTaxonKey
5599251,5599251,33984,gbif:5599251,Plantae,Tracheophyta,Dipsacales,Caprifoliaceae,Abelia,Abelia chinensis,6,7707728,220,946,6710,2888733,5599251,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2888733,Abelia,Abelia chinensis R.Br.,Abelia chinensis,Chinese abelia,R.Br.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"R. Br. (1818). In: Narr. Journey China 376, T.",5,2023-08-22T23:20:59.545+00:00,2023-08-22T23:02:33.913+00:00,[],Magnoliopsida,,,
3152707,3152707,35596,gbif:3152707,Plantae,Tracheophyta,Malvales,Malvaceae,Abelmoschus,Abelmoschus esculentus,6,7707728,220,941,6685,3152705,3152707,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3152705,Abelmoschus,Abelmoschus esculentus (L.) Moench,Abelmoschus esculentus,Okra,(L.) Moench,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Moench. (1794). In: Methodus 617.,2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:17.754+00:00,[],Magnoliopsida,3152708.0,Hibiscus esculentus L.,
3152706,3152706,35703,gbif:3152706,Plantae,Tracheophyta,Malvales,Malvaceae,Abelmoschus,Abelmoschus manihot,6,7707728,220,941,6685,3152705,3152706,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3152705,Abelmoschus,Abelmoschus manihot (L.) Medik.,Abelmoschus manihot,Sunset muskmallow,(L.) Medik.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Malvenfam.: 46 (1787),6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:17.815+00:00,[],Magnoliopsida,3935663.0,Hibiscus manihot L.,
8312665,8312665,35805,gbif:8312665,Plantae,Tracheophyta,Malvales,Malvaceae,Abelmoschus,Abelmoschus moschatus,6,7707728,220,941,6685,3152705,8312665,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3152705,Abelmoschus,Abelmoschus moschatus (L.) Medik.,Abelmoschus moschatus,Musk Okra,(L.) Medik.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Malvenfam.: 46 (1787),3,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:17.555+00:00,[],Magnoliopsida,,,
5348711,5348711,45808,gbif:5348711,Plantae,Tracheophyta,Fabales,Fabaceae,Abrus,Abrus precatorius,6,7707728,220,1370,5386,2943776,5348711,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2943776,Abrus,Abrus precatorius L.,Abrus precatorius,Rosarypea,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"Syst. Nat. ed. 12, 2: 472 (1767)",6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:17.559+00:00,[],Magnoliopsida,,,
3152634,3152634,47919,gbif:3152634,Plantae,Tracheophyta,Malvales,Malvaceae,Abutilon,Abutilon indicum,6,7707728,220,941,6685,3152599,3152634,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3152599,Abutilon,Abutilon indicum (L.) Sweet,Abutilon indicum,Abutilon,(L.) Sweet,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Hort. Brit.: 54 (1826),4,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:23.008+00:00,[],Magnoliopsida,5618451.0,Sida indica L.,
7997923,7997923,10302550,gbif:7997923,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia caesia,6,7707728,220,1370,5386,7989631,7997923,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7989631,Senegalia,"Senegalia caesia (L.) Maslin, Seigler & Ebinger",Senegalia caesia,,"(L.) Maslin, Seigler & Ebinger",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Blumea 58: 40 (2013),1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:08:57.443+00:00,[],Magnoliopsida,8361025.0,Mimosa caesia L.,
3796190,3796190,10302581,gbif:3796190,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia catechu,6,7707728,220,1370,5386,7989631,3796190,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7989631,Senegalia,Senegalia catechu (L.f.) P.J.H.Hurter & Mabb.,Senegalia catechu,catechu,(L.f.) P.J.H.Hurter & Mabb.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"Mabberley's Plant-book, ed. 3 1021 (2008)",1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:08:57.731+00:00,[],Magnoliopsida,2980866.0,Mimosa catechu L.f.,
3795863,3795863,10301090,gbif:3795863,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia rugata,6,7707728,220,1370,5386,7989631,3795863,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7989631,Senegalia,Senegalia rugata (Lam.) Britton & Rose,Senegalia rugata,Soap pod,(Lam.) Britton & Rose,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,N. Amer. Fl. 23(2): 120 (1928),0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:08:57.292+00:00,[],Magnoliopsida,2981140.0,Mimosa rugata Lam.,
2978466,2978466,52787,gbif:2978466,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,Acacia confusa,6,7707728,220,1370,5386,2978223,2978466,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2978223,Acacia,Acacia confusa Merr.,Acacia confusa,Formosan koa,Merr.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"Philipp. J. Sci., C 5: 27 (1910)",0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:08:36.830+00:00,[],Magnoliopsida,,,
