key,nubKey,nameKey,taxonID,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,publishedIn,numDescendants,lastCrawled,lastInterpreted,issues,class,sourceTaxonKey,basionymKey,basionym
6359819,6359819,95910,gbif:6359819,Plantae,Tracheophyta,Lamiales,Acanthaceae,Acanthus,Acanthus ilicifolius,6,7707728,220,408,2393,3173198,6359819,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,3173198,Acanthus,Acanthus ilicifolius L.,Acanthus ilicifolius,"Holly-leaved acanthus, Sea holly, Holly mangrove",L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,L. (1753). In: Sp. Pl. 639.,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:03:42.633+00:00,[],Magnoliopsida,,,
8400302,8400302,4871682,gbif:8400302,Plantae,Tracheophyta,Fabales,Fabaceae,Guilandina,Guilandina bonduc,6,7707728,220,1370,5386,6376699,8400302,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,6376699,Guilandina,Guilandina bonduc L.,Guilandina bonduc,,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Sp. Pl.: 381 (1753),2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:30.044+00:00,[],Magnoliopsida,,,
11973078,11973078,115244900,gbif:11973078,Plantae,Tracheophyta,Fabales,Fabaceae,Caesalpinia,Ticanto crista,6,7707728,220,1370,5386,2958443,11973078,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,f382f0ce-323a-4091-bb9f-add557f3a9a2,2958443,Caesalpinia,Ticanto crista (L.) R.Clark & Gagnon,Ticanto crista,,(L.) R.Clark & Gagnon,SCIENTIFIC,SPECIES,SOURCE,DOUBTFUL,[],,PhytoKeys 205: 70 (2022),0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:08:58.227+00:00,['NAME_PARENT_MISMATCH'],Magnoliopsida,209723502.0,8179846.0,Caesalpinia crista L.
5354740,5354740,6968531,gbif:5354740,Plantae,Tracheophyta,Fabales,Fabaceae,Mezoneuron,Mezoneuron cucullatum,6,7707728,220,1370,5386,2944261,5354740,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2944261,Mezoneuron,Mezoneuron cucullatum (Roxb.) Wight & Arn.,Mezoneuron cucullatum,,(Roxb.) Wight & Arn.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"R.Wight, Cat. Ind. Pl.: 37 (1833)",1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:24.308+00:00,[],Magnoliopsida,,2958654.0,Caesalpinia cucullata Roxb.
3974372,3974372,1455719,gbif:3974372,Plantae,Tracheophyta,Fabales,Fabaceae,Biancaea,Biancaea decapetala,6,7707728,220,1370,5386,7302381,3974372,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7302381,Biancaea,Biancaea decapetala (Roth) O.Deg.,Biancaea decapetala,Cat's claw,(Roth) O.Deg.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Fl. Hawaiiensis: K7 (1936),1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:05.375+00:00,[],Magnoliopsida,,5354718.0,Reichardia decapetala Roth
9282392,9282392,36685570,gbif:9282392,Plantae,Tracheophyta,Fabales,Fabaceae,Biancaea,Biancaea godefroyana,6,7707728,220,1370,5386,7302381,9282392,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7302381,Biancaea,Biancaea godefroyana (Kuntze) Molinari & Mayta,Biancaea godefroyana,,(Kuntze) Molinari & Mayta,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Weberbauerella1(11): 3 (2016),1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:05.434+00:00,[],Magnoliopsida,,2958692.0,Caesalpinia godefroyana Kuntze
2958773,2958773,36683623,gbif:2958773,Plantae,Tracheophyta,Fabales,Fabaceae,Guilandina,Guilandina major,6,7707728,220,1370,5386,6376699,2958773,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,6376699,Guilandina,Guilandina major (Medik.) Small,Guilandina major,Hawai'i pearls,(Medik.) Small,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Fl. S.E. U.S.: 591 (1903),0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:29.927+00:00,[],Magnoliopsida,,2958774.0,Bonduc majus Medik.
9362258,9362258,12564522,gbif:9362258,Plantae,Tracheophyta,Fabales,Fabaceae,Hultholia,Hultholia mimosoides,6,7707728,220,1370,5386,9599254,9362258,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,9599254,Hultholia,Hultholia mimosoides (Lam.) Gagnon & G.P.Lewis,Hultholia mimosoides,,(Lam.) Gagnon & G.P.Lewis,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,PhytoKeys71: 61 (2016),0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:17.079+00:00,[],Magnoliopsida,,2958728.0,Caesalpinia mimosoides Lam.
11219613,11219613,63227951,gbif:11219613,Plantae,Tracheophyta,Fabales,Fabaceae,Guilandina,Guilandina minax,6,7707728,220,1370,5386,6376699,11219613,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,6376699,Guilandina,Guilandina minax (Hance) G.P.Lewis,Guilandina minax,,(Hance) G.P.Lewis,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Kew Bull.75(1)-10: 2 (2020),1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:09:30.034+00:00,[],Magnoliopsida,,2958556.0,Caesalpinia minax Hance
2958715,2958715,1773596,gbif:2958715,Plantae,Tracheophyta,Fabales,Fabaceae,Caesalpinia,Caesalpinia pulcherrima,6,7707728,220,1370,5386,2958443,2958715,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2958443,Caesalpinia,Caesalpinia pulcherrima (L.) Sw.,Caesalpinia pulcherrima,Pride-of-barbados,(L.) Sw.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,Observ. Bot.: 166 (1791),3,2023-08-22T23:20:59.545+00:00,2023-08-22T23:08:58.159+00:00,[],Magnoliopsida,,2958716.0,Poinciana pulcherrima L.
