key,nubKey,nameKey,taxonID,sourceTaxonKey,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,publishedIn,numDescendants,lastCrawled,lastInterpreted,issues,class,basionymKey,basionym
5243447,5243447,17274702,gbif:5243447,176051895.0,Fungi,Basidiomycota,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,5,34,186,1499,4170,2518646,5243447,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2518646,Agaricus,Agaricus bisporus (J.E.Lange) Imbach,Agaricus bisporus,"Cultivated Mushroom, Field Mushroom",(J.E.Lange) Imbach,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1946). Mitt. Naturf. Ges. Luzern 15: 15.,8,2023-08-22T23:20:59.545+00:00,2023-08-22T23:00:14.973+00:00,[],Agaricomycetes,,
5243458,5243458,304861,gbif:5243458,176051463.0,Fungi,Basidiomycota,Agaricales,Agaricaceae,Agaricus,Agaricus campestris,5,34,186,1499,4170,2518646,5243458,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2518646,Agaricus,Agaricus campestris L.,Agaricus campestris,Field Mushroom,L.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1753). Sp. Pl. 2: 1173.,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:00:13.956+00:00,[],Agaricomycetes,,
5954958,5954958,1532806,gbif:5954958,172025663.0,Fungi,Basidiomycota,Boletales,Boletaceae,Boletus,Boletus edulis,5,34,186,1063,8789,8287374,5954958,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,8287374,Boletus,Boletus edulis Bull.,Boletus edulis,"Cep, Penny Bun",Bull.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1782). Herb. Fr. (Paris) 2: Tab. 60 (’1781-82′).,1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:01.319+00:00,[],Agaricomycetes,,
7601434,7601434,1532251,gbif:7601434,117899997.0,Fungi,Basidiomycota,Boletales,Boletaceae,Boletus,Boletus erythropus,5,34,186,1063,8789,8287374,7601434,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,a43ec6d8-7b8a-4868-ad74-56b824c75698,8287374,Boletus,Boletus erythropus Krombh.,Boletus erythropus,,Krombh.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,,0,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:00.477+00:00,[],Agaricomycetes,,
2524910,2524910,17251667,gbif:2524910,172022584.0,Fungi,Basidiomycota,Boletales,Boletaceae,Tylopilus,Tylopilus felleus,5,34,186,1063,8789,2519844,2524910,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,2519844,Tylopilus,Tylopilus felleus (Bull.) P.Karst.,Tylopilus felleus,Bitter Bolete,(Bull.) P.Karst.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"(1881). Revue mycol., Toulouse 3(no. 9): 16.",3,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:04.008+00:00,['ORIGINAL_NAME_DERIVED'],Agaricomycetes,5955009.0,Boletus felleus Bull.
7888147,7888147,10875179,gbif:7888147,176034862.0,Fungi,Basidiomycota,Boletales,Boletaceae,Suillellus,Suillellus queletii,5,34,186,1063,8789,7240504,7888147,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7240504,Suillellus,"Suillellus queletii (Schulzer) Vizzini, Simonini & Gelardi",Suillellus queletii,Deceiving Bolete,"(Schulzer) Vizzini, Simonini & Gelardi",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,"(2014). In Vizzini, Index Fungorum 188: 1.",2,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:04.898+00:00,['ORIGINAL_NAME_DERIVED'],Agaricomycetes,5954937.0,Boletus queletii Schulzer
7617313,7617313,41004493,gbif:7617313,172026078.0,Fungi,Basidiomycota,Boletales,Boletaceae,Butyriboletus,Butyriboletus regius,5,34,186,1063,8789,8405404,7617313,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,8405404,Butyriboletus,Butyriboletus regius (Krombh.) D.Arora & J.L.Frank,Butyriboletus regius,Royal Bolete,(Krombh.) D.Arora & J.L.Frank,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(2014). Mycologia 106(3): 466.,1,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:07.855+00:00,['ORIGINAL_NAME_DERIVED'],Agaricomycetes,7180605.0,Boletus regius Krombh.
2535193,2535193,1583680,gbif:2535193,172062244.0,Fungi,Basidiomycota,Agaricales,Lycoperdaceae,Bovista,Bovista plumbea,5,34,186,1499,3297360,9441377,2535193,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,9441377,Bovista,Bovista plumbea Pers.,Bovista plumbea,Grey Puffball,Pers.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1795). Ann. Bot. (Usteri) 15: 4.,2,2023-08-22T23:20:59.545+00:00,2023-08-22T22:59:57.467+00:00,[],Agaricomycetes,,
2535211,2535211,1583947,gbif:2535211,172062224.0,Fungi,Basidiomycota,Agaricales,Lycoperdaceae,Bovista,Bovista pusilla,5,34,186,1499,3297360,9441377,2535211,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,9441377,Bovista,Bovista pusilla (Batsch) Pers.,Bovista pusilla,Dwarf Puffball,(Batsch) Pers.,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1801). Syn. Meth. Fung. (Göttingen) 1: 138.,3,2023-08-22T23:20:59.545+00:00,2023-08-22T22:59:57.409+00:00,[],Agaricomycetes,,
5239851,5239851,41007481,gbif:5239851,176033862.0,Fungi,Basidiomycota,Boletales,Suillaceae,Suillus,Suillus cavipes,5,34,186,1063,8455,7414997,5239851,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7ddf754f-d193-4cc9-b351-99906754a03b,7414997,Suillus,Suillus cavipes (Klotzsch) A.H.Sm. & Thiers,Suillus cavipes,Hollow Bolete,(Klotzsch) A.H.Sm. & Thiers,SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,(1964). Monogr. North Amer. Species Suillus: 30.,9,2023-08-22T23:20:59.545+00:00,2023-08-22T23:00:57.718+00:00,['ORIGINAL_NAME_DERIVED'],Agaricomycetes,7396544.0,Boletus cavipes Klotzsch
